Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Study_Efficiency,Support_Score,Wellbeing_Score,Academic_History,Motivation_Resources,Attendance_Study
23,84,0,2,0,7,73,0,1,0,0,1.0,1,2,3,0,0.0,0.0,1,67,0.27058823529411763,4.0,10,51.099999999999994,0,1932
19,64,0,1,0,8,59,0,1,2,1,1.0,1,0,4,0,1.0,1.0,0,61,0.2923076923076923,3.0,12,41.9,0,1216
24,98,1,1,1,7,91,1,1,2,1,1.0,1,1,4,0,2.0,0.0,1,74,0.24242424242424243,4.0,11,64.3,1,2352
29,89,0,1,1,8,98,1,1,1,1,1.0,1,0,4,0,0.0,1.0,1,71,0.32222222222222224,3.0,12,68.89999999999999,1,2581
19,92,1,1,1,6,65,1,1,3,1,2.0,1,1,4,0,1.0,0.0,0,70,0.20430107526881722,5.0,10,46.4,1,1748
19,88,1,1,1,8,89,1,1,3,1,1.0,1,2,3,0,2.0,0.0,1,71,0.21348314606741572,4.0,11,63.199999999999996,1,1672
29,84,1,0,1,7,68,0,1,1,0,1.0,0,1,2,0,0.0,1.0,1,67,0.3411764705882353,3.0,9,47.89999999999999,0,2436
25,78,0,2,1,6,50,1,1,1,2,2.0,1,0,2,0,0.0,2.0,1,66,0.31645569620253167,5.0,8,35.3,2,1950
17,94,1,2,0,6,80,2,1,0,1,0.0,0,1,1,0,1.0,0.0,1,69,0.17894736842105263,4.0,7,56.0,4,1598
23,98,1,1,1,8,71,1,1,0,2,2.0,1,2,5,0,0.0,1.0,1,72,0.23232323232323232,5.0,13,49.699999999999996,1,2254
17,80,0,2,0,8,88,1,0,4,1,2.0,0,1,4,0,1.0,1.0,1,68,0.20987654320987653,4.0,12,62.8,2,1360
17,97,1,2,1,6,87,0,1,2,0,2.0,0,1,2,0,0.0,0.0,1,71,0.17346938775510204,6.0,8,61.5,0,1649
21,83,1,1,1,8,97,0,1,2,1,1.0,1,2,4,0,0.0,0.0,1,70,0.25,4.0,12,68.49999999999999,0,1743
9,82,1,1,1,8,72,1,1,2,1,1.0,0,2,3,0,2.0,0.0,1,66,0.10843373493975904,4.0,11,51.0,1,738
10,78,1,2,1,8,74,1,1,1,0,1.0,0,1,4,0,2.0,0.0,1,65,0.12658227848101267,5.0,12,52.099999999999994,2,780
17,68,1,1,0,8,70,1,1,2,1,1.0,0,2,4,0,0.0,0.0,0,64,0.2463768115942029,4.0,12,49.6,1,1156
14,60,1,0,1,10,65,0,1,0,2,1.0,0,2,3,0,1.0,0.0,1,60,0.22950819672131148,3.0,13,45.5,0,840
